from,to,phase_from,phase_to
SegmentationTool.Draw,SegmentationTool.Draw,Phase B,Phase B
SegmentationTool.Draw,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,EnergyControl.Abort,Phase B,Phase C
EnergyControl.Abort,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,WaveformViewer.Resume,Phase C,Phase C
WaveformViewer.Resume,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase C,Phase D
LesionMap.MarkLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.FinalReview,Phase D,Phase E
LesionMap.FinalReview,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,LesionMap.ConfirmComplete,Phase E,Phase E
LesionMap.ConfirmComplete,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,OutcomeTracker.ExportData,Phase E,Phase E
OutcomeTracker.ExportData,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.RunCheck,Phase E,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
ValidationPanel.ReviewResult,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,LesionMap.FinalReview,Phase E,Phase E
LesionMap.FinalReview,ReportGenerator.Preview,Phase E,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,SystemCheck.Shutdown,Phase F,Phase F
SystemCheck.Shutdown,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Export,Phase F,Phase F
ReportGenerator.Export,PatientRecord.Close,Phase F,Phase F
PatientRecord.Close,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,PatientRecord.Save,Phase F,Phase F
PatientRecord.Save,ReportGenerator.OpenTemplate,Phase F,Phase F
ReportGenerator.OpenTemplate,ReportGenerator.Preview,Phase F,Phase F
ReportGenerator.Preview,ReportGenerator.FillFields,Phase F,Phase F
ReportGenerator.FillFields,PatientRecord.Save,Phase F,Phase F
SystemCheck.RunDiagnostics,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,SystemCheck.RunDiagnostics,Phase A,Phase A
SystemCheck.RunDiagnostics,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,SystemCheck.Confirm,Phase A,Phase A
SystemCheck.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Confirm,Phase A,Phase A
PatientDemographics.Confirm,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,ProcedureSetup.ConfirmProtocol,Phase A,Phase A
ProcedureSetup.ConfirmProtocol,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.Confirm,Phase A,Phase A
CatheterConfig.Confirm,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,CatheterConfig.SelectType,Phase A,Phase A
CatheterConfig.SelectType,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,PatientDemographics.Load,Phase A,Phase A
PatientDemographics.Load,ProcedureSetup.SelectProtocol,Phase A,Phase A
ProcedureSetup.SelectProtocol,ImagingPanel.Rotate,Phase A,Phase B
ImagingPanel.Rotate,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,ImagingPanel.Rotate,Phase B,Phase B
ImagingPanel.Rotate,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,ImagingPanel.Contrast,Phase B,Phase B
ImagingPanel.Contrast,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,AnatomyMap.SelectRegion,Phase B,Phase B
AnatomyMap.SelectRegion,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,SegmentationTool.Erase,Phase B,Phase B
SegmentationTool.Erase,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.ToggleOverlay,Phase B,Phase B
ImagingPanel.ToggleOverlay,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,SegmentationTool.Erase,Phase B,Phase B
SegmentationTool.Erase,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,Navigation.ForwardStep,Phase B,Phase B
Navigation.ForwardStep,ImagingPanel.Pan,Phase B,Phase B
ImagingPanel.Pan,AnatomyMap.MarkPoint,Phase B,Phase B
AnatomyMap.MarkPoint,ImagingPanel.Zoom,Phase B,Phase B
ImagingPanel.Zoom,AnatomyMap.ClearMark,Phase B,Phase B
AnatomyMap.ClearMark,Navigation.BackStep,Phase B,Phase B
Navigation.BackStep,WaveformViewer.Resume,Phase B,Phase C
WaveformViewer.Resume,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,LesionMap.ReviewLesion,Phase C,Phase C
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,EnergyControl.Abort,Phase C,Phase C
EnergyControl.Abort,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,WaveformViewer.Resume,Phase C,Phase C
WaveformViewer.Resume,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,ContactSensor.CheckForce,Phase C,Phase C
ContactSensor.CheckForce,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,WaveformViewer.Pause,Phase C,Phase C
WaveformViewer.Pause,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase C,Phase C
EnergyControl.DeliverEnergy,WaveformViewer.Resume,Phase C,Phase C
WaveformViewer.Resume,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,ContactSensor.Confirm,Phase C,Phase C
ContactSensor.Confirm,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,LesionMap.MarkLesion,Phase C,Phase C
LesionMap.MarkLesion,EnergyControl.SetPower,Phase C,Phase C
EnergyControl.SetPower,EnergyControl.SetDuration,Phase C,Phase C
EnergyControl.SetDuration,ContactSensor.CheckForce,Phase C,Phase D
ContactSensor.CheckForce,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,ContactSensor.CheckForce,Phase D,Phase D
ContactSensor.CheckForce,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,LesionMap.DeleteLesion,Phase D,Phase D
LesionMap.DeleteLesion,WaveformViewer.Zoom,Phase D,Phase D
WaveformViewer.Zoom,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,OutcomeTracker.FlagAnomaly,Phase D,Phase D
OutcomeTracker.FlagAnomaly,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.DeliverEnergy,Phase D,Phase D
EnergyControl.DeliverEnergy,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,OutcomeTracker.RecordResult,Phase D,Phase D
OutcomeTracker.RecordResult,EnergyControl.SetPower,Phase D,Phase D
EnergyControl.SetPower,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,WaveformViewer.SelectChannel,Phase D,Phase D
WaveformViewer.SelectChannel,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,EnergyControl.SetDuration,Phase D,Phase D
EnergyControl.SetDuration,LesionMap.MarkLesion,Phase D,Phase D
LesionMap.MarkLesion,LesionMap.ReviewLesion,Phase D,Phase D
LesionMap.ReviewLesion,ValidationPanel.RunCheck,Phase D,Phase E
ValidationPanel.RunCheck,ValidationPanel.ReviewResult,Phase E,Phase E
